key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,4,FF,,6,1.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,30,1,0,0,response1disk,3,9,-10,2,1,0,0,rectangle,-10,2,1,0,0,1,1,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",-10,2,1,0,0,0,8,8,77,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,2,PF,,5,1.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,-45,1,0,0,response3disk,3,10,12,-2,1,0,0,rectangle,12,-2,1,0,0,1,7,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",12,-2,1,0,0,0,9,9,69,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,8,FF,,5,1.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,-66,1,0,0,response3disk,3,11,-6,3,1,0,0,rectangle,-6,3,1,0,0,1,1,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",-6,3,1,0,0,0,10,10,154,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,8,FF,,6,1.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,43,1,0,0,response1disk,2,12,4,-2,1,0,0,rectangle,4,-2,1,0,0,1,1,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",4,-2,1,0,0,0,11,11,22,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,4,FF,,7,1.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,99,1,0,0,response1disk,6,13,-22,3,1,0,0,rectangle,-22,3,1,0,0,1,5,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",-22,3,1,0,0,0,12,12,122,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,2,PF,,3,2.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,-102,1,0,0,response5disk,4,14,-14,-11,1,0,0,rectangle,-14,-11,1,0,0,1,3,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",-14,-11,1,0,0,0,13,13,127,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,8,PF,,4,1.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,-94,1,0,0,response3disk,2,15,4,6,1,0,0,rectangle,4,6,1,0,0,1,5,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",4,6,1,0,0,0,14,14,83,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,6,FF,,7,1.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,83,1,0,0,response1disk,8,16,2,8,1,0,0,rectangle,2,8,1,0,0,1,4,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",2,8,1,0,0,0,15,15,133,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,4,PF,,7,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,91,1,0,0,response1disk,8,17,-1,3,1,0,0,rectangle,-1,3,1,0,0,1,0,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",-1,3,1,0,0,0,16,16,124,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59858eab7678a6000110e4d6,5fe19205d71cab4173dc21f5,2020-12-22_07h28.31.583,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,3,FF,,7,1.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,78,1,0,0,response1disk,4,18,7,-2,1,0,0,rectangle,7,-2,1,0,0,1,5,"[93,322,36,175,207,263,291,182,199,75,171,21,282,8,139,185,153,194,121,6]",7,-2,1,0,0,0,17,17,110,1,,,,,,,,,,,,,,,,,,,,,,,
